"sense"	"label"	"%"
"27232"	"51"	"90"
"27233"	"55"	"90"
"27234"	"330"	"100"
"27235"	"194"	"100"
"27236"	"151"	"100"
"27237"	"734"	"90"
"27238"	"55"	"100"
"27239"	"702"	"90"
"27240"	"152"	"100"
"27241"	"765"	"100"
"27242"	"193"	"100"
"27243"	"181"	"100"
"27244"	"451"	"90"
"27245"	"703"	"100"
"27246"	"37"	"90"
"27247"	"484"	"100"
"27248"	"484"	"90"
"27249"	"765"	"90"
"27250"	"152"	"90"
"27251"	"113"	"100"
"27252"	"281"	"100"
"27253"	"154"	"90"
"27254"	"158"	"100"
"27255"	"526"	"100"
"27256"	"152"	"100"
"27257"	"78"	"100"
"27259"	"801"	"90"
"27260"	"754"	"100"
"27261"	"55"	"90"
"27262"	"734"	"90"
"27263"	"55"	"60"
"27264"	"55"	"90"
"27265"	"165"	"90"
"27266"	"359"	"90"
"27267"	"165"	"90"
"27268"	"765"	"90"
"27269"	"818"	"100"
"27270"	"55"	"90"
"27271"	"625"	"100"
"27272"	"55"	"90"
"27273"	"765"	"100"
"27274"	"805"	"100"
"27275"	"61"	"100"
"27276"	"50"	"90"
"27277"	"55"	"90"
"27278"	"37"	"90"
"27279"	"37"	"60"
"27280"	"747"	"100"
"27281"	"595"	"100"
"27282"	"55"	"90"
"27283"	"991"	"100"
