"source"	"target"	"type"	"subtype"
"27862"	"47996"	"5"	""
"47996"	"47565"	"1"	""
"47998"	"48000"	"2"	""
"48001"	"47997"	"5"	""
"28065"	"47998"	"1"	""
"28065"	"48001"	"1"	""
"29600"	"45136"	"5"	""
"29600"	"43198"	"1"	""
"43198"	"45140"	"5"	""
"45140"	"43411"	"5"	""
"29631"	"33854"	"5"	""
"29655"	"42911"	"1"	"4"
"42911"	"42975"	"5"	""
"29658"	"42565"	"1"	"2"
"29658"	"42566"	"1"	"4"
"29658"	"43905"	"1"	"4"
"42566"	"42567"	"5"	""
"29658"	"42568"	"1"	"4"
"26245"	"33425"	"4"	""
"26245"	"48004"	"5"	""
"48295"	"48003"	"2"	""
"28098"	"33157"	"5"	""
"48005"	"46475"	"1"	""
"48005"	"37947"	"2"	""
"46475"	"48006"	"5"	""
"46475"	"48007"	"5"	""
"48005"	"48008"	"1"	""
"28327"	"38487"	"5"	""
"28327"	"38358"	"1"	""
"29688"	"33928"	"1"	"2"
"33928"	"33967"	"5"	""
"29688"	"45927"	"1"	"4"
"26245"	"33427"	"1"	"1"
"26245"	"41653"	"1"	"2"
"26245"	"33431"	"1"	"4"
"26245"	"33428"	"1"	"4"
"33429"	"33430"	"5"	""
"26245"	"33429"	"1"	"4"
"26245"	"33432"	"1"	"4"
"49270"	"49306"	"2"	""
"26245"	"33434"	"1"	"4"
"26245"	"33435"	"1"	"4"
"42766"	"42765"	"1"	"1"
"44225"	"44194"	"2"	""
"42769"	"44225"	"1"	""
"31748"	"31711"	"2"	""
"33404"	"48014"	"2"	""
"26251"	"48016"	"2"	""
"48016"	"48017"	"5"	""
"45084"	"45086"	"5"	""
"33765"	"48018"	"2"	""
"31744"	"41999"	"5"	""
"31744"	"41995"	"1"	""
"31835"	"35913"	"5"	""
"33879"	"33880"	"5"	""
"33706"	"42044"	"2"	""
"33706"	"42049"	"1"	""
"33706"	"42050"	"1"	""
"26463"	"33748"	"5"	""
"47565"	"48009"	"5"	""
"42093"	"42094"	"5"	""
"33748"	"48024"	"5"	""
"26463"	"33749"	"1"	""
"26463"	"33751"	"1"	""
"26463"	"33752"	"1"	"2"
"33752"	"48026"	"5"	""
"31670"	"48027"	"2"	""
"48039"	"48040"	"1"	"4"
"36834"	"48043"	"1"	""
"28984"	"40621"	"5"	""
"27661"	"30800"	"5"	""
"33354"	"29082"	"1"	"1"
"29082"	"48044"	"2"	""
"29716"	"48052"	"1"	""
"31673"	"48062"	"5"	""
"31673"	"48063"	"1"	""
"31671"	"48065"	"4"	""
"26483"	"41684"	"5"	""
"26483"	"41685"	"1"	"4"
"26483"	"41686"	"1"	""
"41686"	"41687"	"5"	""
"41687"	"41688"	"5"	""
"26483"	"48066"	"1"	""
"28158"	"47341"	"1"	""
"28158"	"48067"	"1"	"4"
"48068"	"48069"	"1"	"4"
"33770"	"33769"	"5"	""
"33769"	"26533"	"4"	""
"33770"	"33773"	"1"	""
"33773"	"38450"	"4"	""
"33773"	"33783"	"5"	""
"33773"	"43369"	"1"	""
"33783"	"30256"	"1"	""
"33769"	"33784"	"1"	""
"26535"	"33785"	"4"	""
"26535"	"33786"	"5"	""
"33785"	"33787"	"1"	""
"33787"	"41717"	"4"	""
"26535"	"41718"	"1"	""
"26535"	"33788"	"1"	""
"26535"	"41719"	"1"	""
"26535"	"48072"	"2"	""
"29769"	"48073"	"1"	""
"28159"	"48074"	"1"	""
"28159"	"40666"	"1"	""
"28976"	"48075"	"1"	""
"27178"	"48061"	"5"	""
"27178"	"48064"	"5"	""
"38194"	"38880"	"1"	""
"28941"	"48079"	"2"	""
"28941"	"48076"	"1"	""
"28941"	"48080"	"1"	""
"28941"	"48077"	"1"	""
"41713"	"26164"	"5"	""
"47709"	"48084"	"5"	""
"48094"	"48095"	"2"	""
"27178"	"48098"	"2"	""
"27178"	"48103"	"1"	""
"30521"	"30522"	"1"	"4"
"26914"	"46136"	"1"	""
"46136"	"44371"	"1"	""
"26914"	"48107"	"1"	""
"26813"	"38871"	"1"	""
"26813"	"35813"	"1"	""
"26813"	"33390"	"1"	""
"33083"	"27210"	"5"	""
"35109"	"48123"	"1"	""
"39889"	"39890"	"2"	""
"37562"	"37564"	"2"	""
"48339"	"48124"	"5"	""
"27178"	"48223"	"1"	""
"27178"	"48104"	"1"	""
"27178"	"48083"	"1"	""
"26563"	"48130"	"4"	""
"48130"	"41720"	"5"	""
"26563"	"41721"	"5"	""
"48132"	"46963"	"5"	""
"27178"	"48125"	"1"	""
"33151"	"33154"	"1"	"4"
"28899"	"48136"	"1"	"4"
"28899"	"48137"	"5"	""
"28899"	"48139"	"1"	"3"
"48137"	"48138"	"2"	""
"28899"	"48143"	"1"	"4"
"48048"	"48153"	"5"	""
"48048"	"48148"	"1"	""
"48157"	"48150"	"1"	""
"48157"	"48149"	"1"	""
"26246"	"48010"	"5"	""
"46473"	"44275"	"1"	""
"34453"	"40665"	"1"	""
"28976"	"38414"	"1"	"4"
"28976"	"40664"	"1"	"4"
"28976"	"48081"	"1"	"4"
"26833"	"48172"	"1"	""
"27550"	"29982"	"3"	""
"44571"	"44572"	"1"	""
"40145"	"42927"	"4"	""
"39334"	"39422"	"5"	""
"37651"	"37652"	"4"	""
"32815"	"32819"	"1"	"4"
"32815"	"47986"	"2"	""
"32815"	"47987"	"2"	""
"32815"	"47988"	"2"	""
"32815"	"44643"	"1"	"4"
"45112"	"45113"	"1"	""
"34401"	"34398"	"1"	"4"
"27260"	"40800"	"5"	""
"40115"	"46285"	"2"	""
"29122"	"37056"	"1"	"2"
"37056"	"37057"	"1"	"1"
"26833"	"48178"	"2"	""
"48172"	"48173"	"5"	""
"48173"	"48182"	"2"	""
"26833"	"48179"	"1"	""
"48173"	"34925"	"5"	""
"48173"	"48184"	"1"	""
"33678"	"27046"	"3"	""
"33678"	"48185"	"1"	""
"48185"	"48186"	"3"	""
"48178"	"48189"	"7"	""
"28159"	"48195"	"1"	""
"34036"	"48196"	"1"	""
"48195"	"48198"	"2"	""
"48196"	"48197"	"5"	""
"35762"	"48202"	"2"	""
"33074"	"48203"	"1"	""
"27006"	"48207"	"2"	""
"27006"	"48206"	"3"	""
"48206"	"37224"	"5"	""
"48206"	"48209"	"1"	""
"26647"	"30119"	"2"	""
