"source"	"lf"	"target"	"form"	"separator"	"merged"	"syntacticframe"	"constraint"	"position"
"26291"	"427"	"38426"	""	","	"0"	""	"postpos"	"1"
"26291"	"427"	"38428"	""	","	"0"	""	"souvent à propos de $1 et $2 avec ~ au pl"	"2"
"26291"	"125"	"38430"	"vieil"	","	"0"	""	"antépos"	"1"
"26291"	"125"	"38437"	""	","	"0"	""	"postpos"	"2"
"26291"	"125"	"38438"	""	"<"	"0"	""	"postpos"	"3"
"26291"	"145"	"44224"	""	","	"0"	""	""	"1"
"26291"	"145"	"37328"	""	";"	"0"	""	"postpos"	"2"
"26291"	"145"	"27536"	""	";"	"0"	""	""	"3"
"26291"	"145"	"38441"	""	","	"0"	""	"postpos"	"4"
"26291"	"145"	"48732"	""	";"	"0"	""	"postpos"	"5"
"26291"	"145"	"38445"	""	","	"0"	""	"postpos"	"6"
"26291"	"170"	"34765"	""	","	"0"	"ART ~ de N=$2"	""	"1"
"26291"	"190"	"43932"	""	","	"0"	"ART ~"	""	"1"
"26291"	"190"	"38698"	""	","	"0"	"ART ~"	""	"2"
"26291"	"449"	"34823"	""	","	"0"	"ART ~ <un ~ de N=$1>"	""	"1"
"26291"	"449"	"38516"	""	";"	"0"	"ART ~"	""	"2"
"26291"	"449"	"38596"	""	","	"0"	"ART ~"	""	"3"
"26291"	"188"	"27114"	""	","	"0"	"ART ~ de N=$2"	""	"1"
"26291"	"225"	"43932"	""	","	"0"	"N=$1 comme/pour ~"	""	"1"
"26291"	"438"	"38550"	""	","	"0"	"ART ~"	""	"1"
"26291"	"437"	"38727"	""	","	"0"	"N=$1 comme/pour ~"	""	"1"
"26291"	"115"	"39865"	"notre ~ à tous"	","	"0"	""	""	"1"
"26291"	"104"	"40578"	""	","	"0"	""	""	"1"
"26291"	"366"	"31813"	""	","	"0"	""	""	"1"
"26292"	"23"	"26248"	""	","	"0"	""	""	"1"
"26292"	"20"	"39295"	""	","	"0"	"d’~"	""	"1"
"26292"	"100"	"53134"	""	","	"0"	""	""	"1"
"26292"	"914"	"53136"	""	","	"0"	""	""	"1"
"26293"	"419"	"27114"	""	","	"0"	"~"	""	"1"
"26293"	"419"	"43444"	""	","	"0"	"~"	""	"2"
"26293"	"419"	"54430"	""	";"	"1"	""	""	"3"
"26293"	"31"	"32456"	""	","	"0"	""	""	"1"
"26293"	"31"	"32454"	""	","	"0"	""	""	"2"
"26294"	"447"	"34371"	""	","	"0"	""	"postpos"	"1"
"26295"	"21"	"31592"	"amusement"	","	"0"	""	""	"1"
"26295"	"109"	"31594"	"amusant"	","	"0"	""	""	"1"
"26295"	"330"	"31595"	"amusé"	","	"0"	""	""	"1"
"26295"	"9"	"52812"	""	","	"0"	""	""	"1"
"26296"	"3"	"26309"	""	","	"0"	""	""	"1"
"26297"	"28"	"31845"	"analogique"	","	"0"	""	""	"1"
"26297"	"3"	"32181"	""	";"	"0"	""	""	"1"
"26297"	"3"	"44616"	""	","	"0"	""	""	"2"
"26297"	"3"	"44617"	""	","	"0"	""	""	"3"
"26297"	"3"	"29173"	""	","	"0"	""	""	"4"
"26297"	"3"	"37699"	""	";"	"0"	""	""	"5"
"26297"	"3"	"44618"	""	","	"0"	""	""	"6"
"26297"	"8"	"44573"	""	","	"0"	""	""	"1"
"26297"	"126"	"29420"	"singulière"	","	"0"	""	""	"1"
"26297"	"126"	"44590"	"saisissante"	","	"0"	""	""	"2"
"26297"	"126"	"27447"	"évidente"	","	"0"	""	""	"3"
"26297"	"126"	"42281"	"remarquable"	","	"0"	""	""	"4"
"26297"	"138"	"29769"	""	","	"0"	""	""	"1"
"26297"	"155"	"37733"	"trompeuse"	","	"0"	""	"postpos"	"1"
"26297"	"155"	"27507"	"fausse"	","	"0"	""	""	"2"
"26297"	"155"	"44570"	"fallacieuse"	";"	"0"	""	"postpos"	"3"
"26297"	"155"	"34171"	"douteuse"	";"	"0"	""	""	"4"
"26297"	"155"	"44572"	"boiteuse"	","	"0"	""	"postpos"	"5"
"26297"	"163"	"43349"	""	","	"0"	"~ avec N"	""	"1"
"26297"	"202"	"41469"	"s’arrêter (là)"	","	"0"	""	""	"1"
"26297"	"203"	"44587"	""	","	"0"	"ART ~"	""	"1"
"26297"	"203"	"26888"	""	","	"0"	"ART ~"	""	"2"
"26297"	"203"	"44589"	""	","	"0"	"ART ~"	""	"3"
"26297"	"614"	"27463"	""	","	"0"	"entre N=$2 et N=$3"	""	"1"
"26297"	"5"	"44573"	""	","	"0"	""	""	"1"
"26297"	"5"	"44622"	""	";"	"0"	""	""	"2"
"26297"	"5"	"47733"	""	";"	"0"	""	""	"3"
"26297"	"13"	"33814"	""	","	"0"	""	""	"1"
"26297"	"13"	"26898"	""	","	"0"	""	""	"2"
"26297"	"13"	"44610"	""	";"	"0"	""	""	"3"
"26297"	"13"	"32775"	""	","	"0"	""	""	"4"
"26297"	"44"	"40521"	""	","	"0"	""	""	"1"
"26297"	"44"	"43435"	""	","	"0"	""	""	"2"
"26297"	"145"	"28751"	"pertinente"	","	"0"	""	""	"1"
"26297"	"145"	"44621"	"intéressante"	";"	"0"	""	""	"2"
