"id"	"propform"	"tildevalue"	"%"	"actantslist"
"26506"	"$1 qui est ~"	""	"100"	"($1=X)"
"26507"	"~ de $1"	""	"100"	"($1=X)"
"26508"	"~ cultivé par $1"	""	"100"	"($1=X)"
"26509"	"$1 ~ $2 avec $3"	"blesse"	"100"	"($1=X,$2=Y,$3=Z)"
"26510"	"$1 qui est ~"	""	"100"	"($1=X)"
"26511"	"~ de $1"	""	"100"	"($1=X)"
"26512"	"$1 qui est ~"	""	"100"	"($1=X)"
"26513"	"$1 ~ $2 avec $3"	" bloque "	"100"	"($1=X,$2=Y,$3=Z)"
"26515"	"~ de $1"	""	"100"	"($1=X)"
"26516"	"$1 ~ $2"	"boit"	"100"	"($1=X,$2=Y)"
"26517"	"~"	""	"100"	"()"
"26518"	"~ destinée à être consommée par $1"	""	"100"	"($1=X)"
"26519"	"~ de $2 qui sert à $1"	""	"100"	"($1=X,$2=Y)"
"26520"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26521"	"$1 ~ $2 avec $3"	"bombarde"	"100"	"($1=X,$2=Y,$3=Z)"
"26523"	"$1 qui est ~"	""	"100"	"($1=X)"
"26524"	"Le locuteur dit : « ~ »"	""	"100"	"()"
"26525"	"~ fait par $2 destiné à être consommé par $1"	""	"100"	"($1=X,$2=Y)"
"26526"	"~ de $1 du fait de $2"	""	"100"	"($1=X,$2=Y)"
"26527"	"$1, qui est un ~"	""	"100"	"($1=X)"
"26528"	"Le locuteur dit : « ~ »"	""	"100"	"()"
"26529"	"~ de $1"	""	"100"	"($1=X)"
"26530"	"Le locuteur dit : « ~ »"	""	"100"	"()"
"26531"	"~ de $1"	""	"100"	"($1=X)"
"26532"	"~ de $1"	""	"100"	"($1=X)"
"26533"	"~ de $1"	""	"100"	"($1=X)"
"26534"	"~ qui sert à $1"	""	"100"	"($1=X)"
"26535"	"~ de $1"	""	"60"	"($1=X)"
"26536"	"! ~ de $1 destinée à être consommée par $2"	""	"90"	"($1=X,$2=Y)"
"26538"	"$1 ~ $2 avec $3"	"bouche "	"100"	"($1=X,$2=Y,$3=Z)"
"26539"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26540"	"~ de $1"	""	"100"	"($1=X)"
"26541"	"~"	""	"100"	"()"
"26542"	"$1 ~"	"bouge"	"100"	"($1=X)"
"26543"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26544"	"$1 ~"	"bout"	"100"	"($1=X)"
"26546"	"~ où travaillent les $1 au service des $2"	""	"100"	"($1=X,$2=Y)"
"26547"	"~"	""	"100"	"()"
"26550"	"~ de $1"	""	"100"	"($1=X)"
"26551"	"$1 ~ $2"	" bouscule "	"100"	"($1=X,$2=Y)"
"26552"	"~ de $1"	""	"100"	"($1=X)"
"26553"	"~ de $2 qui sert à $1"	""	"100"	"($1=X,$2=Y)"
"26554"	"! ~ où $1 vend $2 à $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"26555"	"~ de $1"	""	"100"	"($1=X)"
"26556"	"$1 ~ $2 avec $3"	"boutonne"	"100"	"($1=X,$2=Y,$3=Z)"
"26558"	"$1, qui est un ~"	""	"100"	"($1=X)"
"26560"	"~ de $1"	""	"100"	"($1=X)"
"26561"	"~ de $1"	""	"100"	"($1=X)"
"26562"	"$1 ~ $2"	"branche"	"100"	"($1=X,$2=Y)"
"26563"	"~ de $1"	""	"100"	"($1=X)"
"26564"	"Le locuteur dit : « ~ »"	""	"100"	"()"
"26565"	"$1 qui est ~"	""	"100"	"($1=X)"
"26566"	"$1 ~"	" brille "	"100"	"($1=X)"
"26567"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26568"	"$1 ~ $2"	" brise "	"100"	"($1=X,$2=Y)"
"26569"	"~ de $2 destinée à être consommée par $1"	""	"100"	"($1=X,$2=Y)"
"26570"	"~ qui sert à $1 sur $2"	""	"100"	"($1=X,$2=Y)"
"26571"	"$1 ~ $2 avec $3"	"brosse"	"100"	"($1=X,$2=Y,$3=Z)"
"26572"	"~"	""	"60"	"()"
"26573"	"$1 ~ $2"	"brouille"	"100"	"($1=X,$2=Y)"
"26574"	"~ écrit par $1 contenant $2"	""	"100"	"($1=X,$2=Y)"
"26575"	"$1 ~ $2 avec $3"	"broie"	"100"	"($1=X,$2=Y,$3=Z)"
"26576"	"~ produit par $1"	""	"100"	"($1=X)"
"26577"	"$1 qui est ~"	""	"100"	"($1=X)"
"26578"	"$1 ~ $2"	"brûle"	"100"	"($1=X,$2=Y)"
"26579"	"~ de $1 causé par $2 sur $3"	""	"100"	"($1=Y,$2=X,$3=Z)"
"26580"	"~"	""	"60"	"()"
"26581"	"$1 qui est ~"	""	"100"	"($1=X)"
"26582"	"$1 qui est ~"	""	"100"	"($1=X)"
"26583"	"$1 qui est ~"	""	"100"	"($1=X)"
"26584"	"$1, qui est une ~"	""	"100"	"($1=X)"
"26585"	"$1 qui est ~"	""	"100"	"($1=X)"
"26586"	"~"	""	"100"	"()"
"26587"	"~ de $1"	""	"100"	"($1=X)"
"26588"	"~ sur $1"	""	"100"	"($1=X)"
"26589"	"~ qui sert à $1"	""	"100"	"($1=X)"
"26590"	"~ conduit par $1 et utilisé par  $2, qui s’arrête à $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"26591"	"$1, qui est le ~ de $2"	""	"100"	"($1=X,$2=Y)"
"26593"	"~ de $1"	""	"100"	"($1=X)"
"26594"	"~ où les  $1 offrent le service $2 aux $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"26595"	"~ qui sert à $1 sur $2"	""	"100"	"($1=X,$2=Y)"
"26596"	"$1 ~ $2 dans $3"	" cache "	"100"	"($1=X,$2=Y,$3=Z)"
"26597"	"~ de $1"	""	"100"	"($1=X)"
"26598"	"~"	""	"100"	"()"
"26599"	"~ de $1"	""	"100"	"($1=X)"
"26601"	"~ qui sert à $1 sur $2"	""	"100"	"($1=X,$2=Y)"
"26602"	"~ de $1"	""	"100"	"($1=X)"
"26603"	"~ de $1"	""	"100"	"($1=X)"
"26604"	"~ cultivé par $1"	""	"100"	"($1=X)"
"26605"	"~ où les $1 fournissent $2 aux $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"26606"	"~ qui sert à $1 pour $2"	""	"100"	"($1=X,$2=Y)"
"26607"	"~ de $2 qui sert à $1"	""	"100"	"($1=X,$2=Y)"
"26608"	"~"	""	"100"	"()"
"26609"	"~ de $2 qui sert à $1"	""	"100"	"($1=X,$2=Y)"
"26610"	"~ par $1 de $2"	""	"100"	"($1=X,$2=Y)"
"26611"	"~"	""	"100"	"()"
"26612"	"$1 qui est ~"	""	"100"	"($1=X)"
"26614"	"$1, qui est un ~ de $2 dans $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"26615"	"$1 ~ $2 de $3"	"cambriole"	"90"	"($1=X,$2=Y,$3=Y)"
"26616"	"~ qui sert à $1 sur $2"	""	"100"	"($1=X,$2=Y)"
"26617"	"~ qui sert à $1 pour transporter $2"	""	"100"	"($1=X,$2=Y)"
"26618"	"~ qui sert à $1 pour transporter $2"	""	"100"	"($1=X,$2=Y)"
"26619"	"~ de $1"	""	"100"	"($1=X)"
"26620"	"~ où vivent les $1"	""	"100"	"($1=X)"
"26621"	"$1 ~ à $2"	" campe "	"100"	"($1=X,$2=Y)"
"26622"	"~ de $1"	""	"100"	"($1=X)"
"26623"	"~ qui sert à $1"	""	"100"	"($1=X)"
"26624"	"~ de $1"	""	"100"	"($1=X)"
"26626"	"$1, ~ pour $2"	""	"100"	"($1=X,$2=Y)"
"26627"	"~"	""	"100"	"()"
"26628"	"~"	""	"100"	"()"
"26629"	"~ qui sert à $1 pour lancer $2 sur $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"26630"	"~ où les $1 vont pour $2"	""	"100"	"($1=X,$2=Y)"
"26631"	"~"	""	"100"	"()"
"26632"	"$1 est ~ de $2"	""	"100"	"($1=X,$2=Y)"
"26633"	"~ de $1 à $2"	""	"100"	"($1=X,$2=Y)"
"26634"	"$1, ~ dans $2"	""	"100"	"($1=X,$2=Y)"
"26635"	"$1, ~ de $2"	""	"100"	"($1=X,$2=Y)"
"26636"	"~ pratiqué par les $1"	""	"100"	"($1=X)"
"26637"	"~ de $1 à propos de $2"	""	"100"	"($1=X,$2=Y)"
"26638"	"$1 ~ $2"	" capture "	"100"	"($1=X,$2=Y)"
"26639"	"~ de $1"	""	"100"	"($1=X)"
"26641"	"~ qui sert à $1 pour transporter $2"	""	"100"	"($1=X,$2=Y)"
"26642"	"~ de $1"	""	"100"	"($1=X)"
