"id"	"entry"	"lexnum"	"status"	"%"
"26644"	"26646"	""	"2"	"100"
"26645"	"26647"	"I"	"2"	"100"
"26646"	"26648"	"I.1"	"2"	"100"
"26647"	"26649"	"I.2"	"2"	"100"
"26648"	"26650"	""	"2"	"100"
"26649"	"26651"	"I.1"	"2"	"100"
"26650"	"26652"	""	"2"	"100"
"26651"	"26653"	""	"2"	"100"
"26652"	"26654"	"1"	"2"	"100"
"26653"	"26655"	"1"	"2"	"100"
"26654"	"26656"	"IV.1"	"2"	"100"
"26655"	"26657"	"II"	"2"	"100"
"26656"	"26658"	""	"2"	"100"
"26657"	"26659"	""	"2"	"100"
"26658"	"26660"	"I.3"	"2"	"100"
"26659"	"26661"	"I"	"2"	"100"
"26660"	"26662"	"1"	"2"	"100"
"26661"	"26663"	""	"2"	"100"
"26662"	"26664"	"1"	"2"	"100"
"26663"	"26665"	"I"	"2"	"100"
"26664"	"26666"	"I"	"2"	"100"
"26665"	"26667"	""	"2"	"100"
"26666"	"26668"	"I"	"2"	"100"
"26667"	"26669"	"2"	"2"	"100"
"26668"	"26670"	"I"	"2"	"100"
"26669"	"26671"	"a"	"2"	"100"
"26670"	"26672"	"1"	"2"	"100"
"26671"	"26673"	""	"2"	"100"
"26672"	"26674"	""	"2"	"100"
"26673"	"26675"	""	"2"	"100"
"26674"	"26676"	"I.2"	"2"	"100"
"26675"	"26677"	"I.1"	"2"	"100"
"26676"	"26678"	"II"	"2"	"100"
"26677"	"26679"	""	"2"	"100"
"26678"	"26680"	"I.2"	"2"	"100"
"26679"	"26681"	""	"2"	"100"
"26680"	"26682"	"III"	"2"	"100"
"26681"	"26683"	""	"2"	"100"
"26682"	"26684"	"I.1b"	"2"	"100"
"26683"	"26685"	""	"2"	"100"
"26684"	"26686"	""	"2"	"100"
"26685"	"26687"	""	"2"	"100"
"26686"	"26688"	"I.2"	"2"	"100"
"26687"	"26689"	""	"2"	"100"
"26688"	"26690"	"I"	"2"	"100"
"26689"	"26691"	"I"	"2"	"100"
"26690"	"26692"	""	"2"	"100"
"26691"	"26693"	"I"	"2"	"100"
"26692"	"26694"	"2"	"2"	"100"
"26694"	"26696"	""	"2"	"100"
"26695"	"26697"	"I"	"2"	"100"
"26696"	"26698"	"1"	"2"	"100"
"26697"	"26699"	""	"2"	"100"
"26698"	"26700"	""	"2"	"100"
"26699"	"26701"	"I"	"2"	"100"
"26700"	"26702"	"I"	"2"	"100"
"26701"	"26703"	"I"	"2"	"100"
"26702"	"26704"	"I.1a"	"2"	"100"
"26703"	"26705"	"I"	"2"	"100"
"26704"	"26706"	"I.1"	"2"	"100"
"26705"	"26707"	"II.a"	"2"	"100"
"26706"	"26708"	"I.1"	"2"	"100"
"26707"	"26709"	"1"	"2"	"100"
"26708"	"26710"	"I.1"	"2"	"100"
"26709"	"26711"	"I"	"2"	"100"
"26710"	"26712"	"I.1a"	"2"	"100"
"26711"	"26713"	"I"	"2"	"100"
"26712"	"26714"	"I"	"2"	"100"
"26713"	"26715"	""	"2"	"100"
"26714"	"26716"	""	"2"	"100"
"26715"	"26717"	"I"	"2"	"100"
"26716"	"26718"	"I.2"	"2"	"100"
"26717"	"26719"	""	"2"	"100"
"26718"	"26720"	"II.1"	"2"	"100"
"26719"	"26721"	"II"	"2"	"100"
"26720"	"26722"	"I.a"	"2"	"100"
"26721"	"26723"	"a"	"2"	"100"
"26722"	"26724"	""	"2"	"100"
"26723"	"26725"	"I.2"	"2"	"100"
"26724"	"26726"	"I.1"	"2"	"100"
"26725"	"26727"	"1"	"2"	"100"
"26726"	"26728"	"1"	"2"	"100"
"26727"	"26729"	"I"	"1"	"100"
"26728"	"26730"	"I.1"	"2"	"100"
"26729"	"26731"	"I"	"2"	"100"
"26730"	"26732"	"I.1"	"2"	"100"
"26731"	"26733"	"II"	"2"	"100"
"26732"	"26734"	"I"	"2"	"100"
"26733"	"26735"	"I"	"2"	"100"
"26734"	"26736"	"I"	"2"	"100"
"26735"	"26737"	""	"2"	"100"
"26736"	"26738"	""	"1"	"100"
"26737"	"26739"	"I"	"2"	"100"
"26738"	"26740"	""	"2"	"100"
"26739"	"26741"	"II"	"2"	"100"
"26740"	"26742"	""	"2"	"100"
"26741"	"26743"	"I.1a"	"2"	"100"
"26742"	"26744"	"II.a"	"2"	"100"
"26743"	"26745"	"I"	"2"	"100"
"26744"	"26746"	"I"	"2"	"100"
"26745"	"26747"	""	"2"	"100"
"26746"	"26748"	"I.a"	"2"	"100"
"26747"	"26749"	"I"	"2"	"100"
"26748"	"26750"	"I.1a"	"2"	"100"
"26749"	"26751"	"I.1"	"2"	"100"
"26750"	"26752"	""	"2"	"100"
"26751"	"26753"	"I"	"2"	"100"
"26752"	"26754"	"I"	"2"	"100"
"26753"	"26755"	""	"2"	"100"
"26754"	"26756"	""	"2"	"100"
"26755"	"26757"	"I.1"	"2"	"100"
"26756"	"26758"	"1"	"2"	"100"
"26757"	"26759"	""	"2"	"100"
"26758"	"26760"	""	"2"	"100"
"26759"	"26761"	"2"	"2"	"100"
"26760"	"26762"	""	"2"	"100"
"26761"	"26763"	""	"2"	"100"
